id,name,full_name,age,nationality,team_name,season
167,D. Rose,Daniel Lee Rose,32,England,Watford,2021
623,B. Mendy,Benjamin Mendy,28,France,Manchester City,2021
630,F. Delph,Fabian Delph,33,England,Everton,2021
883,Lee Grant,Lee Grant,39,England,Manchester United,2021
897,M. Greenwood,Mason Will John Greenwood,21,England,Manchester United,2021
2795,G. Sigurðsson,Gylfi Þór Sigurðsson,33,Iceland,Everton,2021
17968,Emmanuel Okokon Idem,Emmanuel Okokon Idem,24,England,Swindon Town,2021
18826,Mark Noble,Mark Noble,35,England,West Ham,2021
18925,A. Lennon,Aaron Lennon,35,England,Burnley,2021
18977,D. Stephens,Dale Stephens,33,England,Burnley,2021
20126,J. Sinclair,Jerome Sinclair,25,England,Watford,2021
138411,L. Hughes,Liam John Hughes,21,Northern Ireland,Liverpool,2021
138890,Brooklyn Lyons-Foster,Brooklyn Lyons-Foster,22,England,Tottenham,2021
157025,Joseph Alan Willis,Joseph Alan Willis,21,England,Walsall,2021
158696,F. Burns,Finley Jack Burns,19,England,Manchester City,2021
284247,H. Blair,Harvey Blair,19,England,Liverpool,2021
284407,Jude Jacob Soonsup-Bell,Jude Jacob Soonsup-Bell,18,England,Chelsea,2021
288115,James Storer,James Storer,,England,Wolves,2021
314661,J. Danns,Jayden Danns,,England,Liverpool,2021
348463,Jacob Bunch,Jacob Bunch,,England,Swindon Town,2021
1093,E. Mwepu,Enock Mwepu,24,Zambia,Brighton,2021
1131,A. Oko-Flex,Armstrong Echezolachukwu Inya Oko-Flex,21,Republic of Ireland,West Ham,2021
17676,Liam McCarron,Liam McCarron,21,Scotland,Leeds,2021
152964,Christian Fernandes Marques,Christian Fernandes Marques,20,Portugal,Wolves,2021
153429,T. Mengi,Teden Mambuene Mengi,20,England,Manchester United,2021
154793,Jamie Patrick Bowden,Jamie Patrick Bowden,21,Republic of Ireland,Tottenham,2021
154807,Daniel Chesters,Daniel Chesters,20,England,West Ham,2021
158702,Cieran Peter Slicker,Cieran Peter Slicker,20,Scotland,Manchester City,2021
162493,Matthew George Craig,Matthew George Craig,19,Scotland,Tottenham,2021
180866,Marcelo,Marcelo de Araújo Pitaluga Filho,20,Brazil,Liverpool,2021
280683,James Balagizi,James Balagizi,20,England,Liverpool,2021
284185,Charlie Whitaker,Charlie Whitaker,19,England,Everton,2021
284338,Sam William John Waller,Sam William John Waller,19,England,Burnley,2021
284362,B. Hardley,Björn Bryan Hardley,20,Netherlands,Manchester United,2021
284420,Zachariah Olumide Awe,Zachariah Olumide Awe,18,England,Arsenal,2021
284493,T. Adaramola,Omotayo Daniel Adaramola,19,Republic of Ireland,Crystal Palace,2021
284498,Hayden Taylor Lindley,Hayden Taylor Lindley,20,England,Aston Villa,2021
284556,T. O&apos;Reilly,Tommi Dylan O'Reilly,19,England,Aston Villa,2021
304317,Tyler Dibling,Tyler Dibling,16,England,Southampton,2021
312118,J. Feeney,Joshua Feeney,17,England,Aston Villa,2021
640,Fernandinho,Fernando Luiz Roza,38,Brazil,Manchester City,2021
1649,P. Cutrone,Patrick Cutrone,25,Italy,Wolves,2021
2727,J. Lössl,Jonas Bybjerg Lössl,34,Denmark,Brentford,2021
15928,F. Alves,Frederik Alves Ibsen,24,Denmark,West Ham,2021
18981,Jürgen Locadia,Jürgen Locadia,30,Netherlands,Brighton,2021
19343,P. Gunnarsson,Patrik Sigurður Gunnarsson,23,Iceland,Brentford,2021
19350,L. Račić,Luka Račić,24,Denmark,Brentford,2021
19360,J. Žambůrek,Jan Žambůrek,22,Czech Republic,Brentford,2021
90497,W. Reid,Winston Wiremu Reid,34,New Zealand,West Ham,2021
137299,Lewis Mark Richardson,Lewis Mark Richardson,20,England,Burnley,2021
144710,Reece Phillip Peter Hannam,Reece Phillip Peter Hannam,23,England,Crystal Palace,2021
153408,D. Oyegoke,Daniel Oladele Akinbiyi Oyegoke,20,England,Brentford,2021
158693,Owen Michael Beck,Owen Michael Beck,21,Wales,Liverpool,2021
162189,M. Bidstrup,Mads Bidstrup,22,Denmark,Brentford,2021
278074,S. Oulad M&apos;Hand,Salah Oulad M'Hand,20,Netherlands,Arsenal,2021
284442,C. Webster,Charles Clive Webster,19,England,Chelsea,2021
286764,Kaide Gordon,Kaide Gordon,19,England,Liverpool,2021
298128,K. Kessler,Kaine Kessler Hayden,21,England,Aston Villa,2021
305819,Kayky,Kayky da Silva Chagas,20,Brazil,Manchester City,2021
349288,V. Angelini,Vincent Angelini,20,Scotland,Watford,2021
76,M. Nakamba,Marvelous Nakamba,29,Zimbabwe,Aston Villa,2021
652,Marçal,Fernando Marçal de Oliveira,34,Brazil,Wolves,2021
2790,J. Guðmunds­son,Jóhann Berg Guðmunds­son,33,Iceland,Burnley,2021
18747,R. Giles,Ryan Giles,23,England,Wolves,2021
18891,C. Clark,Ciaran Clark,34,Republic of Ireland,Newcastle,2021
18918,C. Taylor,Charles James Taylor,30,England,Burnley,2021
18922,J. Cork,Jack Frank Porteous Cork,34,England,Burnley,2021
18927,A. Barnes,Ashley Luke Barnes,34,England,Burnley,2021
18957,M. Obafemi,Michael Oluwadurotimi Obafemi,23,Republic of Ireland,Southampton,2021
19169,J. Rodríguez,Jay Enrique Rodríguez,34,England,Burnley,2021
19268,J. Brownhill,Joshua Brownhill,28,England,Burnley,2021
19331,C. Roberts,Connor Richard Jones Roberts,28,Wales,Burnley,2021
19363,M. Forss,Marcus Forss,24,Finland,Brentford,2021
37440,H. Dervişoğlu,Halil İbrahim Dervişoğlu,24,Türkiye,Brentford,2021
50828,Z. Steffen,Zackary Thomas Steffen,28,USA,Manchester City,2021
137302,C. Archer,Cameron Desmond Archer,22,England,Aston Villa,2021
144732,T. Doyle,Thomas Glyn Doyle,22,England,Manchester City,2021
153411,C. Drameh,Cody Callum Pierre Drameh,22,England,Leeds,2021
158697,J. McAtee,James John McAtee,21,England,Manchester City,2021
231029,N. Tella,Nathan Adewale Temitayo Tella,24,England,Southampton,2021
2360,D. Giannoulis,Dimitrios Christos Giannoulis,28,Greece,Norwich,2021
15832,J. Sørensen,Jakob Lungi Sørensen,25,Denmark,Norwich,2021
18899,I. Hayden,Isaac Scott Hayden,28,England,Newcastle,2021
18914,B. Gibson,Benjamin James Gibson,30,England,Norwich,2021
18933,A. Gunn,Angus Fraser James Gunn,27,Scotland,Norwich,2021
19061,T. Krul,Timothy Michael Krul,35,Netherlands,Norwich,2021
19062,M. McGovern,Michael McGovern,39,Northern Ireland,Norwich,2021
19066,G. Hanley,Grant Campbell Hanley,32,Scotland,Norwich,2021
19070,M. Aarons,Maximillian James Aarons,23,England,Norwich,2021
19074,O. Hernández,Onel Lázaro Hernández Mayea,30,Cuba,Norwich,2021
19077,K. McLean,Kenneth McLean,31,Scotland,Norwich,2021
19100,K. Dowell,Kieran O'Neill Dowell,26,England,Norwich,2021
19131,J. Shackleton,Jamie Stuart Shackleton,24,England,Leeds,2021
19287,S. Byram,Samuel Mark Byram,30,England,Norwich,2021
40774,P. Płacheta,Przemysław Płacheta,25,Poland,Norwich,2021
130417,A. Idah,Adam Uche Idah,22,Republic of Ireland,Norwich,2021
147835,A. Omobamidele,Andrew Abiola Omobamidele,21,Republic of Ireland,Norwich,2021
162590,T. Morton,Tyler Scott Morton,21,England,Liverpool,2021
171034,L. Gibbs,Liam Geoffrey Gibbs,21,England,Norwich,2021
278392,C. Cresswell,Charlie Richard Cresswell,21,England,Leeds,2021
301,B. Woodburn,Benjamin Luke Woodburn,24,Wales,Liverpool,2021
18777,M. Albrighton,Marc Kevin Albrighton,34,England,Leicester,2021
18803,N. Chalobah,Nathaniel Nyakie Chalobah,29,England,Watford,2021
18889,F. Woodman,Frederick John Woodman,26,England,Newcastle,2021
19085,T. Pukki,Teemu Eino Antero Pukki,33,Finland,Norwich,2021
19136,J. Clarke,Jack Raymond Clarke,23,England,Tottenham,2021
19569,J. Gelhardt,Joseph Paul Gelhardt,21,England,Leeds,2021
21383,E. Pieters,Erik Pieters,35,Netherlands,Burnley,2021
22007,H. Kamara,Hassane Kamara,29,Côte d'Ivoire,Watford,2021
25332,J. Sargent,Joshua Thomas Sargent,23,USA,Norwich,2021
44775,D. Bachmann,Daniel Bachmann,29,Austria,Watford,2021
141133,A. Alese,Ajibola Joshua Odunayo Afolarin Alese,22,England,West Ham,2021
157997,A. Diallo,Amad Diallo Traoré,21,Côte d'Ivoire,Manchester United,2021
161800,C. Tzolis,Christos Tzolis,21,Greece,Norwich,2021
161948,L. Delap,Liam Rory Delap,20,England,Manchester City,2021
278095,J. Rowe,Jonathan David Henry Rowe,20,England,Norwich,2021
278128,J. Wilson-Esbrand,Joshua Darius Kamani Wilson-Esbrand,21,England,Manchester City,2021
278232,P. Ekwah,Pierre-Emmanuel Ekwah Elimby,21,France,West Ham,2021
284300,Álvaro Fernández,Álvaro Fernández Carreras,20,Spain,Manchester United,2021
284441,A. Kamara,Abu Kamara,20,England,Norwich,2021
18793,C. Cathcart,Craig George Cathcart,34,Northern Ireland,Watford,2021
18797,C. Kabasele,Christian Kabasele,32,Belgium,Watford,2021
285,K. Hoever,Ki-Jana Delano Hoever,21,Netherlands,Wolves,2021
18737,J. Ruddy,John Ruddy,37,England,Wolves,2021
18807,Domingos Quina,Domingos Quina,24,Portugal,Watford,2021
18808,T. Deeney,Troy Deeney,35,England,Watford,2021
18820,C. Coventry,Conor James Coventry,23,Republic of Ireland,West Ham,2021
18885,K. Darlow,Karl Darlow,33,England,Newcastle,2021
18915,K. Long,Kevin Finbarr Long,33,Republic of Ireland,Burnley,2021
19166,D. Gayle,Dwight Gayle,34,England,Newcastle,2021
19253,J. Hugill,Jordan Thomas Hugill,31,England,Norwich,2021
19772,A. Connolly,Aaron Anthony Connolly,23,Republic of Ireland,Brighton,2021
19831,T. Fosu,Tariqe Fosu,28,Ghana,Brentford,2021
49942,O. Tufan,Ozan Tufan,28,Türkiye,Watford,2021
123437,D. Sanderson,Dion Dannie Leonard Sanderson,24,England,Wolves,2021
130418,A. Søndergaard,Andreas Søndergaard,22,Denmark,Wolves,2021
130421,W. Smallbone,William Anthony Patrick Smallbone,23,Republic of Ireland,Southampton,2021
149564,L. Cundle,Luke James Cundle,21,England,Wolves,2021
152952,X. Simons,Xavier Levi Simons,20,England,Chelsea,2021
