news_id,player_name,clubs_mentioned,veracity
530739,Cristiano Ronaldo,"['Manchester United', 'Juventus']",False
530740,Raheem Sterling,"['Manchester City', 'Tottenham Hotspur', 'Aston Villa']",False
530740,Benjamin Mendy,"['Manchester City', 'Tottenham Hotspur', 'Aston Villa']",False
530740,Aymeric Laporte,"['Manchester City', 'Tottenham Hotspur', 'Aston Villa']",False
530740,Harry Kane,"['Tottenham Hotspur', 'Aston Villa']",False
530741,Kane,"['Paris St-Germain', 'Tottenham Hotspur']",False
530742,Pochettino,"['Spurs', 'PSG']",False
530743,Gabriel Jesus,"['Manchester City', 'Spurs']",False
530744,Harry Kane,"['Manchester United', 'Tottenham Hotspur']",False
530744,Jack Grealish,"['Manchester United', 'Aston Villa']",True
530744,Declan Rice,"['Manchester United', 'West Ham United']",False
530745,Sergio Ramos,"['Real Madrid', 'Manchester City']",False
530746,Sergi Roberto,"['Manchester City', 'Barcelona']",False
530747,Fikayo Tomori,"['Chelsea FC', 'AC Milan']",True
530749,Odsonne Edouard,"['Leicester City', 'Celtic']",False
530750,Tammy Abraham,"['Newcastle United', 'Chelsea FC']",False
530750,Billy Gilmour,"['Newcastle United', 'Chelsea FC']",False
530752,Philippe Coutinho,"['Barcelona', 'Liverpool FC']",False
530753,Raphael Varane,"['Chelsea FC', 'Manchester United']",False
530755,Robert Lewandowski,"['Bayern Munich', 'Chelsea FC', 'Barcelona', 'Real Madrid']",False
530756,Olivier Giroud,"['AC Milan', 'Chelsea FC']",True
530757,Pedro,"['Everton FC', 'Chelsea FC', 'Roma']",False
530758,Kevin Phillips,"['Leicester City', 'Liverpool FC']",False
530759,Matteo Guendouzi,"['Arsenal FC', 'Marseille']",True
530760,Freddie Woodman,"['Southampton FC', 'Celtic']",False
530761,Ruben Vinagre,"['Wolverhampton Wanderers', 'Sporting Lisbon']",False
530762,Yangel Herrera,"['Sporting', 'Manchester City', 'Granada']",False
530763,Maurizio Sarri,"['Chelsea FC', 'Lazio']",False
