id,name,full_name,age,nationality,team_name,position,season
167,Asrqr,hEyxC,79,pqnMn,Watford,Defender,2021
623,wgMvU,PHGRr,11,wdTDo,Manchester City,Defender,2021
630,dcmGR,Svgwy,47,oOKIV,Everton,Midfielder,2021
883,BkBXm,DzAPK,97,frLMI,Manchester United,Goalkeeper,2021
897,fAkbU,jfyEB,09,VyWmq,Manchester United,Attacker,2021
2795,HrGzN,kRrUw,07,zNAfF,Everton,Midfielder,2021
17968,FpgdL,KMUOs,68,LsAqu,Swindon Town,Goalkeeper,2021
18826,OevQn,ZCKsO,44,UULQO,West Ham,Midfielder,2021
18925,YNfme,ZqPIT,82,uPWUZ,Burnley,Midfielder,2021
18977,omNfc,wNsKN,17,xvsWK,Burnley,Midfielder,2021
20126,zXduV,XBkbD,21,fzzqE,Watford,Attacker,2021
138411,oOfoj,KysNV,54,RKbby,Liverpool,Goalkeeper,2021
138890,kFNUk,mMBSS,38,IgzxM,Tottenham,Defender,2021
157025,Gxbmf,URJZa,14,GDTXv,Walsall,Midfielder,2021
158696,mcMVu,iGpLG,85,yUROL,Manchester City,Defender,2021
284247,niRya,oHehT,52,enXeL,Liverpool,Attacker,2021
284407,azVLx,nuyzH,28,QGeiB,Chelsea,Attacker,2021
288115,mEGoX,XOtvR,14,tRUdq,Wolves,Goalkeeper,2021
314661,ACnzG,cOpbV,70,eSAHZ,Liverpool,Midfielder,2021
348463,eBTFV,vsDrb,08,XyKiH,Swindon Town,Midfielder,2021
1093,IFOKt,cqDFL,03,YdyKW,Brighton,Midfielder,2021
1131,aQzub,aldnF,63,GdgGb,West Ham,Attacker,2021
17676,vDSEu,WJGLF,03,Opsdf,Leeds,Midfielder,2021
152964,kSmTA,GDYJn,23,MRCbE,Wolves,Defender,2021
153429,yXGrb,fEOwY,57,YoOQZ,Manchester United,Defender,2021
154793,QDXgp,QQESY,60,UjFUu,Tottenham,Midfielder,2021
154807,HvlRJ,yePIT,23,WaTRN,West Ham,Midfielder,2021
158702,VKuTT,xoBzh,33,SPKhO,Manchester City,Goalkeeper,2021
162493,RZidI,mHZJQ,50,OrFWE,Tottenham,Midfielder,2021
180866,dbcEc,dOlHF,20,daPBf,Liverpool,Goalkeeper,2021
280683,nWTqA,QBokh,72,xuNdu,Liverpool,Attacker,2021
284185,Otcmr,AzKcm,74,BQQRJ,Everton,Midfielder,2021
284338,UjJQm,LXvQw,15,EzpEe,Burnley,Goalkeeper,2021
284362,wEzwI,hbXdY,17,aBNvu,Manchester United,Defender,2021
284420,gHtQH,XtIwO,48,CvoGN,Arsenal,Defender,2021
284493,RpHRT,QdfDE,88,TQqiy,Crystal Palace,Defender,2021
284498,EVNpo,vMjMB,73,XKbYi,Aston Villa,Midfielder,2021
284556,BYtNS,ZLcpl,39,XFxmX,Aston Villa,Midfielder,2021
304317,XUFwU,dcXfe,46,yFvHc,Southampton,Midfielder,2021
312118,egubb,QjCiw,06,IIEmf,Aston Villa,Defender,2021
1649,zZinT,KYcEz,15,WEzcy,Wolves,Attacker,2021
2790,JSSPc,WlrqD,54,PqdhU,Burnley,Midfielder,2021
18918,CLdvh,iuOkF,76,QdjWi,Burnley,Defender,2021
18922,fcWRU,BnPMR,86,mKLQw,Burnley,Midfielder,2021
18981,bKIqr,QrqAY,82,xTFvm,Brighton,Attacker,2021
19268,IaIAs,YEpdQ,62,rmEyg,Burnley,Midfielder,2021
19331,VkGrS,dCOgI,20,lSvTU,Burnley,Defender,2021
19343,Nshkz,tTnVd,40,fIKjF,Brentford,Goalkeeper,2021
90497,ysUsl,PEdXG,15,mvGMS,West Ham,Defender,2021
137299,mAvXb,dsHYO,83,mMPTS,Burnley,Attacker,2021
144710,OxQYF,ZeXdB,25,CESQr,Crystal Palace,Defender,2021
153408,KoVwE,WZhhk,39,ImrRh,Brentford,Defender,2021
158693,GEFUV,wkmIT,53,OtYxb,Liverpool,Defender,2021
231029,zdtBX,rXFgo,74,uImUi,Southampton,Midfielder,2021
278074,bdPLp,CwdaS,95,HmckJ,Arsenal,Midfielder,2021
284442,XwdEV,Omggq,08,DSeyW,Chelsea,Midfielder,2021
286764,kEVsD,rQDOj,97,ytndx,Liverpool,Attacker,2021
298128,CRyFh,xyvUf,04,PZOUp,Aston Villa,Defender,2021
305819,QudkG,VKmfQ,21,AVvWn,Manchester City,Attacker,2021
349288,uQxrC,Umsyc,97,helbW,Watford,Goalkeeper,2021
76,KutdY,ApBej,50,reXCW,Aston Villa,Midfielder,2021
18747,yvVru,ylLUR,83,ugLiK,Wolves,Midfielder,2021
18891,xdszn,VGQGo,93,xMYIA,Newcastle,Defender,2021
18927,GAJGJ,svzNl,14,gMJjU,Burnley,Attacker,2021
18933,nFVlm,EEePc,85,onnUa,Norwich,Goalkeeper,2021
18957,ZsIsi,EUGCW,47,ZUyCD,Southampton,Attacker,2021
19061,xEafv,zuZXu,21,TLtaI,Norwich,Goalkeeper,2021
19062,PSPRi,aNLMs,31,USaJm,Norwich,Goalkeeper,2021
19070,hRoYG,KtePF,52,FYcfy,Norwich,Defender,2021
19131,XbAyP,wMEre,04,LQmMu,Leeds,Midfielder,2021
19169,nVoiw,JeOhE,88,OOvKc,Burnley,Attacker,2021
19363,rlklo,oSetA,31,RxBRW,Brentford,Attacker,2021
37440,CDVna,GWRuE,08,rVing,Brentford,Attacker,2021
50828,ywMtw,FGYYu,30,cuVdX,Manchester City,Goalkeeper,2021
137302,zsjxo,dFNCQ,74,GDrnL,Aston Villa,Attacker,2021
144732,JUFvF,uUSyS,83,NYxCv,Manchester City,Midfielder,2021
153411,ZLRFn,UMCXl,66,KocQw,Leeds,Defender,2021
158697,QpKiu,sglqN,78,HLrbr,Manchester City,Midfielder,2021
162590,SdXwY,heUrF,04,mQfpV,Liverpool,Midfielder,2021
278392,ZzOKC,THZoN,57,HNHED,Leeds,Defender,2021
301,VAubX,IxPAj,21,Forwp,Liverpool,Midfielder,2021
2360,UGcgT,tVhVg,21,Xokmg,Norwich,Defender,2021
15832,iaIFj,YkUTM,36,ZQdyZ,Norwich,Midfielder,2021
18889,PkOZq,GFqnr,63,cNUpu,Newcastle,Goalkeeper,2021
18914,NeRVI,PytCK,25,thnvo,Norwich,Defender,2021
19066,ZfbzE,IzFBJ,09,tzuAc,Norwich,Defender,2021
19074,AVjOS,TEXUH,99,bCUdC,Norwich,Midfielder,2021
19077,WBwCY,IBdtA,07,nPLfE,Norwich,Midfielder,2021
19085,jZXbH,rJptW,36,RLLqz,Norwich,Attacker,2021
19100,yjddF,MQJMo,53,NxNWa,Norwich,Midfielder,2021
