id,player_name,player_age,player_position,club_left,club_joined,market_value,season
1,fuJMJ,73,Right-Back,Brighton & Hove Albion,Arsenal FC,€50.00m,2021
2,nfJud,18,Attacking Midfield,Real Madrid,Arsenal FC,€80.00m,2021
3,crimn,70,Goalkeeper,Sheffield United,Arsenal FC,€38.00m,2021
4,nxiEx,13,Right-Back,Bologna,Arsenal FC,€25.00m,2021
5,gzkbp,63,Central Midfield,RSC Anderlecht,Arsenal FC,€15.00m,2021
6,PtnGq,56,Left-Back,Benfica,Arsenal FC,€18.00m,2021
7,AjJbe,33,Centre-Back,Colorado,Arsenal FC,€9.00m,2021
8,GhiOW,12,Central Midfield,Hertha Berlin,Arsenal FC,€25.00m,2021
9,bOiSh,48,Defensive Midfield,Atlético Madrid,Arsenal FC,€15.00m,2021
10,oqBMm,45,Goalkeeper,SKF Sered,Arsenal FC,€300k,2021
11,irBvl,50,Left-Back,FC Schalke 04,Arsenal FC,€5.00m,2021
12,ZdqEA,82,Centre-Back,OGC Nice,Arsenal FC,€55.00m,2021
13,ORfIL,37,Central Midfield,Arsenal FC,Newcastle United,€30.00m,2021
14,FYZxg,57,Defensive Midfield,Arsenal FC,Fiorentina,€15.00m,2021
15,SJHRn,33,Right Midfield,Arsenal FC,AS Roma,€8.00m,2021
16,iCiCH,69,Centre-Back,Arsenal FC,Flamengo,€600k,2021
17,DrAdt,09,Left-Back,Arsenal FC,Marseille,€5.00m,2021
18,goSoZ,30,Left Winger,Arsenal FC,Corinthians,€3.00m,2021
19,QbiMD,82,Centre-Forward,Arsenal FC,Barcelona,€7.00m,2021
20,GvCCl,14,Centre-Back,Arsenal FC,Aston Villa,€8.00m,2021
21,XexCA,42,Goalkeeper,Arsenal FC,AS Trencin,€300k,2021
22,VywOY,29,Centre-Back,Arsenal FC,Udinese Calcio,€5.00m,2021
23,FJeAz,71,Centre-Back,Arsenal FC,Colorado,€9.00m,2021
24,afUwX,31,Central Midfield,Arsenal FC,Marseille,€25.00m,2021
25,jBsCr,74,Right-Back,Arsenal FC,Real Betis,€8.00m,2021
26,AhVnc,94,Goalkeeper,Arsenal FC,OH Leuven,€1.30m,2021
27,nuVlx,20,Right Winger,Arsenal FC,Feyenoord,€7.00m,2021
28,edMiG,99,Centre-Back,Arsenal FC,Marseille,€55.00m,2021
29,WQQXr,15,Goalkeeper,Arsenal FC,SKF Sered,€300k,2021
