id,player_name,player_age,player_position,club_left,club_joined,transfer_fee
385490,Ben White,23,Right-Back,Brighton,Arsenal FC,€50.00m
385491,Martin Ødegaard,22,Attacking Midfield,Real Madrid,Arsenal FC,€80.00m
385492,Aaron Ramsdale,23,Goalkeeper,Sheff Utd,Arsenal FC,€38.00m
385493,Takehiro Tomiyasu,22,Right-Back,Bologna,Arsenal FC,€25.00m
385494,Albert Sambi Lokonga,21,Central Midfield,RSC Anderlecht,Arsenal FC,€15.00m
385495,Nuno Tavares,21,Left-Back,Benfica,Arsenal FC,€18.00m
385496,Auston Trusty,23,Centre-Back,Colorado,Arsenal FC,€9.00m
385497,Dejan Iliev,26,Goalkeeper,SKF Sered,Arsenal FC,€325k
385498,William Saliba,20,Centre-Back,OGC Nice,Arsenal FC,€55.00m
385499,Sead Kolasinac,28,Left-Back,FC Schalke 04,Arsenal FC,€5.00m
385500,Lucas Torreira,25,Defensive Midfield,Atlético Madrid,Arsenal FC,€15.00m
385501,Mattéo Guendouzi,22,Central Midfield,Hertha BSC,Arsenal FC,€25.00m
385502,Joe Willock,21,Central Midfield,Arsenal FC,Newcastle,€30.00m
385503,Lucas Torreira,25,Defensive Midfield,Arsenal FC,Fiorentina,€15.00m
385504,Ainsley Maitland-Niles,24,Right Midfield,Arsenal FC,AS Roma,€8.00m
385505,Pierre-Emerick Aubameyang,32,Centre-Forward,Arsenal FC,Barcelona,€7.00m
385506,Calum Chambers,27,Centre-Back,Arsenal FC,Aston Villa,€8.00m
385507,Sead Kolasinac,28,Left-Back,Arsenal FC,Marseille,€5.00m
385508,Dejan Iliev,26,Goalkeeper,Arsenal FC,AS Trencin,€325k
385509,David Luiz,34,Centre-Back,Arsenal FC,Flamengo,€800k
385510,Willian,33,Left Winger,Arsenal FC,Corinthians,€3.00m
385511,Dejan Iliev,26,Goalkeeper,Arsenal FC,SKF Sered,€325k
385512,William Saliba,20,Centre-Back,Arsenal FC,Marseille,€55.00m
385513,Reiss Nelson,21,Right Winger,Arsenal FC,Feyenoord,€7.00m
385514,Rúnar Alex Rúnarsson,26,Goalkeeper,Arsenal FC,OH Leuven,€1.30m
385515,Héctor Bellerín,26,Right-Back,Arsenal FC,Real Betis,€8.00m
385516,Mattéo Guendouzi,22,Central Midfield,Arsenal FC,Marseille,€25.00m
385517,Pablo Marí,28,Centre-Back,Arsenal FC,Udinese Calcio,€5.00m
385518,Auston Trusty,23,Centre-Back,Arsenal FC,Colorado,€9.00m
385519,Martin Ødegaard,22,Attacking Midfield,Arsenal FC,Real Madrid,€80.00m
385520,Mathew Ryan,29,Goalkeeper,Arsenal FC,Brighton,€4.00m
385521,Dani Ceballos,24,Central Midfield,Arsenal FC,Real Madrid,€12.00m
385522,Emiliano Buendía,24,Right Winger,Norwich,Aston Villa,€28.00m
385523,Leon Bailey,23,Left Winger,B. Leverkusen,Aston Villa,€25.00m
385524,Lucas Digne,28,Left-Back,Everton,Aston Villa,€17.00m
385525,Danny Ings,29,Centre-Forward,Southampton,Aston Villa,€16.00m
385526,Calum Chambers,27,Centre-Back,Arsenal,Aston Villa,€8.00m
385527,Ashley Young,35,Right-Back,Inter,Aston Villa,€1.00m
385528,Robin Olsen,32,Goalkeeper,AS Roma,Aston Villa,€2.00m
385529,Philippe Coutinho,29,Left Winger,Barcelona,Aston Villa,€14.00m
385530,Axel Tuanzebe,23,Centre-Back,Man Utd,Aston Villa,€6.00m
385531,Cameron Archer,19,Centre-Forward,Aston Villa U23,Aston Villa,€10.00m
385532,Jaden Philogene,19,Left Winger,Aston Villa U23,Aston Villa,€2.50m
385533,Tim Iroegbunam,18,Central Midfield,Aston Villa U23,Aston Villa,€4.00m
385534,Carney Chukwuemeka,17,Central Midfield,Aston Villa U23,Aston Villa,€15.00m
385535,Wesley Moraes,25,Centre-Forward,Club Brugge,Aston Villa,€3.00m
385536,Ally Samatta,28,Centre-Forward,Fenerbahce,Aston Villa,€2.50m
385537,Jed Steer,29,Goalkeeper,Luton,Aston Villa,€600k
385538,Frédéric Guilbert,26,Right-Back,R. Strasbourg,Aston Villa,€5.00m
