news_id,player_name,clubs_mentioned,veracity
530739,Cristiano Ronaldo,"['Manchester United', 'Juventus']",False
530740,Raheem Sterling,"['Manchester City', 'Tottenham', 'Aston Villa']",
530740,Benjamin Mendy,"['Manchester City', 'Tottenham', 'Aston Villa']",
530740,Aymeric Laporte,"['Manchester City', 'Tottenham', 'Aston Villa']",
530740,Harry Kane,"['Tottenham', 'Aston Villa']",
530741,Kane,"['Paris St-Germain', 'Tottenham']",
530742,Pochettino,"['Spurs', 'PSG']",
530743,Gabriel Jesus,"['Manchester City', 'Spurs']",
530744,Harry Kane,"['Manchester United', 'Tottenham Hotspur']",
530744,Jack Grealish,"['Manchester United', 'Aston Villa']",False
530744,Declan Rice,"['Manchester United', 'West Ham United']",
530745,Sergio Ramos,"['Real Madrid', 'Manchester City']",
530746,Sergi Roberto,"['Manchester City', 'Barcelona']",
530747,Fikayo Tomori,"['Chelsea', 'AC Milan']",False
530749,Odsonne Edouard,"['Leicester City', 'Celtic']",False
530750,Tammy Abraham,"['Newcastle United', 'Chelsea']",False
530750,Billy Gilmour,"['Newcastle United', 'Chelsea']",False
530752,Philippe Coutinho,"['Barcelona', 'Liverpool']",False
530753,Raphael Varane,"['Chelsea', 'Manchester United']",False
530755,Robert Lewandowski,"['Bayern Munich', 'Chelsea', 'Barcelona', 'Real Madrid']",
530756,Olivier Giroud,"['AC Milan', 'Chelsea']",False
530757,Pedro,"['Everton', 'Chelsea', 'Roma']",
530758,Kevin Phillips,"['Leicester City', 'Liverpool']",False
530759,Matteo Guendouzi,"['Arsenal', 'Marseille']",False
530760,Freddie Woodman,"['Southampton', 'Celtic']",False
530761,Ruben Vinagre,"['Wolverhampton Wanderers', 'Sporting Lisbon']",False
530762,Yangel Herrera,"['Sporting', 'Manchester City', 'Granada']",False
530763,Maurizio Sarri,"['Chelsea', 'Lazio']",
530765,Steven Gerrard,"['Everton', 'Rangers']",
530765,Rafael Benitez,"['Everton', 'Liverpool']",
530766,Jamie Carragher,"['Liverpool', 'Everton']",
530769,Moise Kean,"['Everton', 'Paris St-Germain']",False
530771,Raheem Sterling,"['Arsenal', 'Manchester City']",
530771,Harry Kane,"['Tottenham', 'Manchester City']",
530774,Jules Kounde,"['Manchester United', 'Sevilla', 'Barcelona']",
530775,Andre Onana,"['Arsenal', 'Ajax']",
530776,Albert Sambi Lokonga,"['Arsenal', 'Anderlecht']",False
530779,Miralem Pjanic,"['Barcelona', 'Juventus']",
530780,Gianluigi Donnarumma,"['AC Milan', 'Roma']",
530781,Boubakary Soumare,"['Leicester City', 'Lille']",
530782,Alan Velasco,"['Brighton', 'Newcastle United']",
530783,Pedro Goncalves,"['Manchester United', 'Sporting Lisbon']",
530784,Romain Perraud,"['Leeds United', 'Stade Brest']",False
530785,Dion Sanderson,"['Sunderland', 'Wolves']",
530786,Kylian Mbappe,"['Real Madrid', 'Paris St-Germain']",
530786,Cristiano Ronaldo,"['Paris St-Germain', 'Juventus']",False
530786,Mauro Icardi,"['Paris St-Germain', 'Juventus']",
