date,raw_text,player_name,clubs_mentioned,potential_suitors,assists,native_country,54,domestic_club_goals,objects,team,injured,chairman,idol,desired_wage,estimated_wage,contract_value,Premier,start_of_2021,boss,compared_to,market_value,manager,current team,sport,potential_transfer_fee,release_clause,preferred_option,not_prepared_to_pay_a_sizeable_transfer_fee,suspension_reason,international_team,retirement_plans,transfer_fee,fee,loan_with_option_to_buy,expected_cost,position,previous_clubs,contract_expiration,field,weekly_wages,contract_length,coming,player_age,currency,contract_ends,value,valuation,club,next_season,league,available_for,career_span,loan,player_nationality,level,teams_mentioned,destination,tournament,emotion,estimated_value,team_mentioned,contract_details,former_club,expected_return,object,loan_status,weekly_salary,expected_transfer_fee,international_caps,suspended,international_goals,preferred_move, Galatasaray,hopes_for_long-term_future_with_club,city_players_positions,role,comparison,injury,country,city_players_ages,last_club,transfer_status,goals_scored,ceremony,player_value,contract_status,contract,potential_loan,external-link,salary_demand,release_cause,goals,nationality,contract_duration,status,loan_spell,parent_club,sources,current_team,city_players,source,out,this,years_at_manchester_united,yearly_pay_packet,age,transfer_budget,father,contract_situation,price_tag,secures_football,native country,estimated_transfer_fee,advice,loan_start_date,domestic_club_assists,cost,agent,sibling,yet,rejecting_offers,other_fields,current_deal,injury_record,result,suggest,willing_to_meet_salary_demands,potential_signings,estimated_cost,current_club,player_position,proposed_salary,last_played,loan_club,option_for_further_year,previous_club,salary,preferred_side,loaned,current_weekly_wages,price,remains_manager,games_played,salary_demands,Belgium,contract_expires,transfer_value,manager_name,news_id
1 June 2021,"Nuno Espirito Santo, Eddie Howe and former boss David Moyes are among the candidates to succeed Carlo Ancelotti should the Italian leave Everton for Real Madrid.",Nuno Espirito Santo,['Everton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530738.0
1 June 2021,"Nuno Espirito Santo, Eddie Howe and former boss David Moyes are among the candidates to succeed Carlo Ancelotti should the Italian leave Everton for Real Madrid.",Eddie Howe,['Everton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530738.0
1 June 2021,"Nuno Espirito Santo, Eddie Howe and former boss David Moyes are among the candidates to succeed Carlo Ancelotti should the Italian leave Everton for Real Madrid.",David Moyes,['Everton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530738.0
1 June 2021,"Manchester United think re-signing Juventus and Portugal forward Cristiano Ronaldo, 36, is a genuine possibility this summer.",Cristiano Ronaldo,"['Manchester United', 'Juventus']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530739.0
1 June 2021,"Manchester City could look to sell England winger Raheem Sterling, 26, France left-back Benjamin Mendy, 26, and Spain centre-back Aymeric Laporte, 27, to fund moves for Tottenham and England striker Harry Kane, 27, and Aston Villa and England's 25-year-old midfielder Jack Grealish.",Raheem Sterling,"['Manchester City', 'Tottenham', 'Aston Villa']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530740.0
1 June 2021,"Manchester City could look to sell England winger Raheem Sterling, 26, France left-back Benjamin Mendy, 26, and Spain centre-back Aymeric Laporte, 27, to fund moves for Tottenham and England striker Harry Kane, 27, and Aston Villa and England's 25-year-old midfielder Jack Grealish.",Benjamin Mendy,"['Manchester City', 'Tottenham', 'Aston Villa']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530740.0
1 June 2021,"Manchester City could look to sell England winger Raheem Sterling, 26, France left-back Benjamin Mendy, 26, and Spain centre-back Aymeric Laporte, 27, to fund moves for Tottenham and England striker Harry Kane, 27, and Aston Villa and England's 25-year-old midfielder Jack Grealish.",Aymeric Laporte,"['Manchester City', 'Tottenham', 'Aston Villa']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530740.0
1 June 2021,"Manchester City could look to sell England winger Raheem Sterling, 26, France left-back Benjamin Mendy, 26, and Spain centre-back Aymeric Laporte, 27, to fund moves for Tottenham and England striker Harry Kane, 27, and Aston Villa and England's 25-year-old midfielder Jack Grealish.",Harry Kane,"['Tottenham', 'Aston Villa']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530740.0
1 June 2021,"Manchester City could look to sell England winger Raheem Sterling, 26, France left-back Benjamin Mendy, 26, and Spain centre-back Aymeric Laporte, 27, to fund moves for Tottenham and England striker Harry Kane, 27, and Aston Villa and England's 25-year-old midfielder Jack Grealish.",Jack Grealish,['Aston Villa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530740.0
1 June 2021,"The potential return of Paris St-Germain manager Mauricio Pochettino would not be enough to persuade Kane, 27, to stay at Tottenham.",Kane,"['Paris St-Germain', 'Tottenham']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530741.0
